Investment Amount(lakhs),Debt (In lakhs INR),Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,,dbt,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,,Debt/person,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal
4000000,2500000,0,0,0,0,1,0,0,1,4000000,0,0,0,0,4000000,0,0,,2500000,0,0,0,0,2500000,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
1000000,0,1,1,1,1,1,0,0,5,200000,200000,200000,200000,200000,200000,0,0,,0,0,0,0,0,0,0,0
1000000,0,0,1,0,1,0,1,0,3,333333.3333,0,333333.3333,0,333333.3333,0,333333.3333,0,,0,0,0,0,0,0,0,0
2500000,2200000,0,0,0,0,1,0,0,1,2500000,0,0,0,0,2500000,0,0,,2200000,0,0,0,0,2200000,0,0
3500000,0,1,0,0,0,0,1,0,2,1750000,1750000,0,0,0,0,1750000,0,,0,0,0,0,0,0,0,0
6000000,0,1,1,0,0,1,0,0,3,2000000,2000000,2000000,0,0,2000000,0,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
5000000,5000000,0,0,0,1,0,0,0,1,5000000,0,0,0,5000000,0,0,0,,5000000,0,0,0,5000000,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
5000000,0,1,0,0,0,0,0,1,2,2500000,2500000,0,0,0,0,0,2500000,,0,0,0,0,0,0,0,0
1000000,2500000,0,0,0,0,1,0,0,1,1000000,0,0,0,0,1000000,0,0,,2500000,0,0,0,0,2500000,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
5000000,0,1,0,0,0,0,0,0,1,5000000,5000000,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1000000,0,1,0,1,0,1,1,1,5,200000,200000,0,200000,0,200000,200000,200000,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
5000000,0,0,0,0,0,1,0,0,1,5000000,0,0,0,0,5000000,0,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
6500000,0,0,0,1,0,0,0,0,1,6500000,0,0,6500000,0,0,0,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
1000000,0,1,0,1,0,1,0,1,4,250000,250000,0,250000,0,250000,0,250000,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
1000000,0,0,0,0,0,1,0,0,1,1000000,0,0,0,0,1000000,0,0,,0,0,0,0,0,0,0,0
1000000,0,0,0,0,0,1,1,1,3,333333.3333,0,0,0,0,333333.3333,333333.3333,333333.3333,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
5000000,0,0,0,0,0,1,1,1,3,1666666.667,0,0,0,0,1666666.667,1666666.667,1666666.667,,0,0,0,0,0,0,0,0
7500000,0,0,0,1,0,0,1,1,3,2500000,0,0,2500000,0,0,2500000,2500000,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
8000000,0,0,0,1,0,0,1,0,2,4000000,0,0,4000000,0,0,4000000,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,,#DIV/0!,0,0,0,0,0,0,0
