Episode Number,Pitch Number,Brand,Idea,Category,City,state,Investment Amount,Investment Amount(lakhs),Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Total investers,Investment per head,Equity per head,Valuation,,longitude,latitude,,city,lat,lng
6,16,Skippi Pops,Ice-Pops,Food and beverages,Hyderabad,Telangana,10,1000000,0,15%,1,1,1,1,0,1,0,5,200000,3%,"66,66,667",,17.3667,78.4667,,Indore,22.7206,75.8472
6,17,Menstrupedia,Menstrual Awareness Comic,Education,Ahmedabad,Gujrat,50,5000000,0,20%,0,0,1,0,0,0,0,1,5000000,20%,"2,50,00,000",,23.03,72.58,,Vadodara,22.3,73.2
6,18,Hecolll,Pollution Resistant Fabric,Fashion,Hyderabad,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,17.3667,78.4667,,Vishakhapatnam,17.7333,83.3167
7,19,Raising Superstars,Child Development App,Education,Mumbai,Maharashtra,10,1000000,0,4%,0,1,0,1,0,0,0,2,500000,2%,"2,50,00,000",,18.9667,72.8333,,Bhopal,23.25,77.4167
7,20,Torch-it,Gadgets for visually impaired people,Education,Ahmedabad,Gujrat,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,23.03,72.58,,Chinchvad,18.6278,73.8131
7,21,La Kheer Deli,Kheer in variety of flavors,Food and beverages,Pune,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.5196,73.8553,,Patna,25.61,85.1414
8,22,Beyond Snack,Kerala Banana Chips,Food and beverages,Alappuzha,Kerala,50,5000000,0,2.50%,0,1,0,1,0,0,0,2,2500000,1%,"20,00,00,000",,#N/A,#N/A,,Ludhiana,30.9083,75.8486
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,Healthcare,Hyderabad,Telangana,56,5600000,0,33.30%,1,0,0,0,1,0,0,2,2800000,17%,"1,68,16,817",,17.3667,78.4667,,agra,27.18,78.02
8,24,Motion Breeze,Smart Electric Motorcycle,Automotive,Vadodara,Gujrat,30,3000000,0,6%,0,1,0,0,0,0,0,1,3000000,6%,"5,00,00,000",,22.3,73.2,,Kalyan,19.2502,73.1602
9,25,Altor,Smart Helmets,Electronics,Kolkata,West Bengal,50,5000000,0,7%,0,0,1,1,0,0,0,2,2500000,4%,"7,14,28,571",,22.5411,88.3378,,Madurai,9.9197,78.1194
9,26,Ariro,Wooden Toys,Toys,Chennai,Tamil Nadu,50,5000000,0,10%,0,0,0,1,1,0,0,2,2500000,5%,"5,00,00,000",,13.0825,80.275,,Jamshedpur,22.8,86.1833
9,27,Kabira Handmade,Healthy Oils,Food and beverages,Jaipur,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,26.9167,75.8667,,Nasik,20,73.7833
10,28,Nuutjob,Male Intimate Hygiene,Cosmetcis,Naranpura,Gujrat,25,2500000,0,20%,0,0,1,1,1,0,0,3,833333.3333,7%,"1,25,00,000",,#N/A,#N/A,,Far?dabad,28.4333,77.3167
10,29,Meatyour,Eggs,Food and beverages,Pune,Maharashtra,30,3000000,0,20%,1,0,0,1,1,0,0,3,1000000,7%,"1,50,00,000",,18.5196,73.8553,,Aurangabad,19.88,75.32
10,30,EventBeep,Student Community App,Education,Pune,Maharashtra,30,3000000,0,3%,0,1,0,1,1,0,0,3,1000000,1%,"10,00,00,000",,18.5196,73.8553,,Rajkot,22.2969,70.7984
11,31,Gopal's 56,Fiber Ice Cream,Food and beverages,New Delhi,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,28.7,77.2,,Meerut,28.99,77.7
11,32,ARRCOAT Surface Textures,Wall Building,Construction,New Delhi,Delhi,50,5000000,0,15%,1,0,0,0,0,0,0,1,5000000,15%,"3,33,33,333",,28.7,77.2,,Jabalpur,23.1667,79.9333
11,33,Farda,Customised Streetwear,Fashion,Nagpur,Maharashtra,30,3000000,0,20%,0,0,1,1,0,0,0,2,1500000,10%,"1,50,00,000",,21.1539,79.0831,,Thane,19.18,72.9633
12,34,Auli Lifestyle,Ayurvedic Products,Healthcare,Kolkata,West Bengal,75,7500000,0,5%,0,0,1,0,0,0,0,1,7500000,5%,"15,00,00,000",,22.5411,88.3378,,Dhanbad,23.7928,86.435
12,35,SweeDesi,Indian Sweets,Food and beverages,Pune,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,18.5196,73.8553,,Allahabad,25.455,81.84
12,36,LOKA,Metaverse App,Gaming,Delhi,Delhi,40,4000000,0,24%,1,0,0,1,1,0,0,3,1333333.333,8%,"1,66,66,667",,28.66,77.23,,Varanasi,25.3189,83.0128
13,37,Annie,Braille Literary Device,Education,Bangalore,Karnataka,10,1000000,0,3%,1,0,1,0,1,0,0,3,333333.3333,1%,"3,33,33,333",,12.9699,77.598,,Sr?nagar,34.0911,74.8061
13,38,Caragreen,Eco-Friendly boxes,packaging,Bangalore,Karnataka,50,5000000,0,20%,1,0,0,0,1,0,0,2,2500000,10%,"2,50,00,000",,12.9699,77.598,,Amritsar,31.6167,74.85
13,39,The Yarn Bazaar,Yarn-Trading App,Textile,Mumbai,Maharashtra,10,1000000,0,10%,1,1,0,1,1,0,0,4,250000,3%,"1,00,00,000",,18.9667,72.8333,,Al?garh,27.88,78.08
14,40,The Renal Project,Home Dialysis Treatment,Healthcare,Mumbai,Maharashtra,10,1000000,0,6%,0,0,1,1,0,0,0,2,500000,3%,"1,66,66,667",,18.9667,72.8333,,Bhiwandi,19.3,73.0667
14,41,Morikko Pure Foods,Healthy Food Snacks,Food and beverages,Valsad,Gujrat,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,#N/A,#N/A,,Gwalior,26.215,78.1931
14,42,Good Good Piggy Bank,Digital Piggy Bank,,Delhi,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,28.66,77.23,,Bhilai,21.2167,81.4333
15,43,Hammer Lifestyle,Smart Audio Products,Electronics,Panipat ,Haryana,10,1000000,0,40.00%,0,0,0,1,0,0,0,1,1000000,40%,"25,00,000",,#N/A,#N/A,,Haora,22.59,88.31
15,44,PNT,Robotics and Automation Solutions,SAAS,Mumbai,Maharashtra,25,2500000,25,25.00%,0,0,0,0,1,0,0,1,2500000,25%,"1,00,00,000",,18.9667,72.8333,,Ranchi,23.3556,85.3347
15,45,Cocofit,Coconut based beverage franchise,Food and beverages,Hyderabad,Telangana,5,500000,0,5.00%,1,0,1,1,0,0,0,3,166666.6667,2%,"1,00,00,000",,17.3667,78.4667,,Bezwada,16.5167,80.6167
16,46,Bamboo India,Bamboo Products,Wooden ,Chikhli,Maharashtra,50,5000000,30,3.50%,1,1,0,0,0,0,0,2,2500000,2%,"14,28,57,143",,#N/A,#N/A,,Chand?garh,30.7353,76.7911
16,47,Flying Furr,Dog Hygiene,Animal care,New Delhi,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0%,,,28.7,77.2,,Mysore,12.3086,76.6531
16,48,Beyond Water,Liquid Water Enhancer,Water purification,Kolkata,West Bengal,75,7500000,0,15.00%,0,0,1,1,0,0,0,2,3750000,8%,"5,00,00,000",,22.5411,88.3378,,Raipur,21.2379,81.6337
16,49,Let's Try,Healthy Snacks,Food and beverages,Delhi,Delhi,45,4500000,0,12.00%,1,0,0,1,0,0,0,2,2250000,6%,"3,75,00,000",,28.66,77.23,,Kota,25.18,75.83
17,50,Find Your Kicks India,Sneaker Resale,Shoes,,Punjab,50,5000000,0,25.00%,1,1,1,1,1,0,0,5,1000000,5%,"2,00,00,000",,#N/A,#N/A,,Bareilly,28.364,79.415
17,51,Aas Vidyalaya,EdTech App,Education,Mumbai,Maharashtra,15,1500000,0,15.00%,0,1,1,0,1,0,0,3,500000,5%,"1,00,00,000",,18.9667,72.8333,,Jodhpur,26.2918,73.0168
