Episode Number,Pitch Number,Brand,Idea,Category,City,state,Investment Amount,Investment Amount(lakhs),Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Total investers,Investment per head,Equity per head,Valuation,,longitude,latitude,,city,lat,lng
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shiliguri,26.72,88.42
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bali,22.65,88.34
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pan?pat,29.4004,76.97
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kar?mnagar,18.4333,79.15
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bhuj,23.2504,69.81
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ichalkaranji,16.7,74.47
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tirupati,13.65,79.42
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hospet,15.2667,76.4
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,a?zawl,23.7104,92.72
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sannai,24.16,80.83
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Barasat,22.2333,88.45
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ratlam,23.3167,75.0667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Handwara,34.4,74.28
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Drug,21.19,81.28
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Imphal,24.82,93.95
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Anantapur,14.6833,77.6
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Etawah,26.7855,79.015
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Raich?r,16.2104,77.355
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ongole,15.5,80.05
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bharatpur,27.2172,77.49
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Begusarai,25.42,86.13
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Son?pat,28.9958,77.0114
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ramgundam,18.8,79.45
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hapur,28.7437,77.7628
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Uluberiya,22.47,88.11
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Porbandar,21.6425,69.6047
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pali,25.7725,73.3233
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Vizianagaram,18.1167,83.4167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Puducherry,11.93,79.83
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Karnal,29.6804,76.97
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Nagercoil,8.17,77.43
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tanjore,10.8,79.15
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sambhal,28.58,78.55
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Naihati,22.9,88.42
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Secunderabad,17.45,78.5
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kharagpur,22.3302,87.3237
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Dindigul,10.35,77.95
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shimla,31.1033,77.1722
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ingraj Bazar,25,88.15
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ellore,16.7,81.1
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Puri,19.8,85.8167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Haldia,22.0257,88.0583
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Nandyal,15.48,78.48
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bulandshahr,28.4104,77.8484
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chakradharpur,22.7,85.63
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bhiwani,28.7833,76.1333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Gurgaon,28.45,77.02
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Burhanpur,21.3004,76.13
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Khammam,17.25,80.15
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Madhyamgram,22.7,88.45
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ghand?nagar,23.22,72.68
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Baharampur,24.1,88.25
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mahb?bnagar,16.7333,77.9833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mahesana,23.6,72.4
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,adoni,15.63,77.28
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Raiganj,25.6167,88.1167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bhusaval,21.02,75.83
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bahraigh,27.6204,81.6699
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shr?rampur,22.75,88.34
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tonk,26.1505,75.79
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sirsa,29.4904,75.03
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jaunpur,25.7333,82.6833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Madanapalle,13.55,78.5
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hugli,22.9,88.39
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Vellore,12.9204,79.15
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Alleppey,9.5004,76.37
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Cuddalore,11.75,79.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Deo,24.6561,84.4356
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ch?rala,15.82,80.35
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Machil?patnam,16.1667,81.1333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Medin?pur,22.4333,87.3333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Baram?la,34.2,74.34
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chandannagar,22.8667,88.3833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Fatehpur,25.8804,80.8
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Udipi,13.3322,74.7461
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tenali,16.243,80.64
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sitalpur,27.63,80.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Conjeeveram,12.8308,79.7078
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Proddat?r,14.73,78.55
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Navsari,20.8504,72.92
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Godhra,22.7755,73.6149
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Budaun,28.03,79.09
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chittoor,13.2,79.1167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Har?pur,31.52,75.98
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Saharsa,25.88,86.6
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Vidisha,23.5239,77.8061
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pathankot,32.2689,75.6497
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Nalgonda,17.05,79.27
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Dibrugarh,27.4833,95
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Balurghat,25.2167,88.7667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Krishnanagar,23.4,88.5
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Fyzabad,26.7504,82.17
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Silchar,24.7904,92.79
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shantipur,23.25,88.43
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hindupur,13.83,77.49
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Erode,11.3408,77.7172
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jamuria,23.7,87.08
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Habra,22.83,88.63
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ambala,30.3786,76.7725
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mauli,30.7194,76.7181
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kolar,13.1333,78.1333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shillong,25.5744,91.8789
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bh?mavaram,16.5333,81.5333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,New Delhi,28.7,77.2
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mandsaur,24.03,75.08
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kumbakonam,10.9805,79.4
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tiruvannamalai,12.2604,79.1
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chicacole,18.3,83.9
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bankura,23.25,87.0667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mandya,12.5242,76.8958
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hassan,13.005,76.1028
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Yavatmal,20.4,78.1333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,P?libh?t,28.64,79.81
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Palghat,10.7792,76.6547
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Abohar,30.1204,74.29
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Palakollu,16.5333,81.7333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kanchrapara,22.97,88.43
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Port Blair,11.6667,92.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Al?pur Duar,26.4837,89.5667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hathras,27.6,78.05
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Guntakal,15.17,77.38
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Navadw?p,23.4088,88.3657
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bas?rhat,22.6572,88.8942
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Hal?sahar,22.95,88.42
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rishra,22.71,88.35
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Dharmavaram,14.4142,77.715
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Baidyabati,22.79,88.32
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Darjeeling,27.0417,88.2631
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sopur,34.3,74.47
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Gudivada,16.43,80.99
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Adilabad,19.6667,78.5333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Titagarh,22.74,88.37
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chittaurgarh,24.8894,74.6239
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Narasaraopet,16.236,80.054
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Dam Dam,22.62,88.42
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Valparai,10.3204,76.97
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Osmanabad,18.1667,76.05
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Champdani,22.8,88.37
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bangaon,23.07,88.82
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Khardah,22.72,88.38
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tadpatri,14.92,78.02
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jalpaiguri,26.5167,88.7333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Suriapet,17.15,79.6167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tadepalleg?dem,16.8333,81.5
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bansbaria,22.97,88.4
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Negapatam,10.7667,79.8333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bhadreswar,22.82,88.35
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chilakal?rupet,16.0892,80.1672
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kalyani,22.975,88.4344
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Gangtok,27.33,88.62
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Koh?ma,25.6667,94.1194
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Khambhat,22.3131,72.6194
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Aurangabad,24.7704,84.38
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Emmigan?r,15.7333,77.4833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rayachoti,14.05,78.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kavali,14.9123,79.9944
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mancheral,18.8679,79.4639
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kadiri,14.12,78.17
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ootacamund,11.4086,76.6939
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Anakapalle,17.68,83.02
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sirsilla,18.38,78.83
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kamareddipet,18.3167,78.35
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Paloncha,17.5815,80.6765
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kottag?dem,17.55,80.63
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tanuku,16.75,81.7
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bodhan,18.67,77.9
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kar?r,10.9504,78.0833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mangalagiri,16.43,80.55
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kairana,29.4,77.2
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Markapur,15.735,79.27
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Malaut,30.19,74.499
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bapatla,15.8889,80.47
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Badvel,14.75,79.05
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jorhat,26.75,94.2167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Koratla,18.82,78.72
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pulivendla,14.4167,78.2333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jaisalmer,26.9167,70.9167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tadepalle,16.4667,80.6
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Arm?r,18.79,78.29
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jatani,20.17,85.7
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Gadwal,16.23,77.8
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Nagari,13.33,79.58
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Wanparti,16.361,78.0627
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Ponn?ru,16.0667,80.5667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Vinukonda,16.05,79.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Itanagar,27.1,93.62
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tezpur,26.6338,92.8
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Narasapur,16.4333,81.6833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kothapet,19.3333,79.4833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Macherla,16.48,79.43
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kanduk?r,15.2165,79.9042
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Samalkot,17.0531,82.1695
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bobbili,18.5667,83.4167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sattenapalle,16.3962,80.1497
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Vrindavan,27.5806,77.7006
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mandapeta,16.87,81.93
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Belampalli,19.0558,79.4931
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bh?munipatnam,17.8864,83.4471
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Nandod,21.8704,73.5026
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pithapuram,17.1167,82.2667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pungan?ru,13.3667,78.5833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Putt?r,13.45,79.55
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jalor,25.35,72.6167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Palmaner,13.2,78.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Dholka,22.72,72.47
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jaggayyapeta,16.892,80.0976
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Tuni,17.35,82.55
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Amalapuram,16.5833,82.0167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jagtial,18.8,78.93
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Vikarabad,17.33,77.9
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Venkatagiri,13.9667,79.5833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Sihor,21.7,71.97
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jangaon,17.72,79.18
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mandamari,18.9822,79.4811
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Metpalli,18.8297,78.5878
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Repalle,16.02,80.85
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bhainsa,19.1,77.9667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jasdan,22.03,71.2
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jammalamadugu,14.85,78.38
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rameswaram,9.28,79.3
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Addanki,15.811,79.9738
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Nidadavole,16.92,81.67
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bodupal,17.4139,78.5783
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rajg?r,25.03,85.42
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Rajaori,33.38,74.3
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Naini Tal,29.3919,79.4542
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Channarayapatna,12.9,76.39
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Maihar,24.27,80.75
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Panaji,15.48,73.83
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Junnar,19.2,73.88
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Amudalavalasa,18.4167,83.9
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Daman,20.417,72.85
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kovv?r,17.0167,81.7333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Solan,30.92,77.12
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Dwarka,22.2403,68.9686
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pathanamthitta,9.2647,76.7872
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kodaikanal,10.23,77.48
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Udhampur,32.93,75.13
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Giddal?r,15.3784,78.9265
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Yellandu,17.6,80.33
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Shr?rangapattana,12.4181,76.6947
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Angamali,10.196,76.386
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Umaria,23.5245,80.8365
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Fatehpur S?kri,27.0911,77.6611
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Mang?r,17.9373,80.8185
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pedana,16.2667,81.1667
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Uran,18.89,72.95
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Chimakurti,15.5819,79.868
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Devarkonda,16.7,78.9333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Bandipura,34.4225,74.6375
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Silvassa,20.2666,73.0166
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Pamidi,14.95,77.5833
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Narasannapeta,18.4151,84.0447
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Jaynagar-Majilpur,22.1772,88.4258
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Khed Brahma,24.0299,73.0463
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Khajuraho,24.85,79.9333
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Koilkuntla,15.2333,78.3167
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Diu,20.7197,70.9904
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kulgam,33.64,75.02
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Gauripur,26.08,89.97
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Abu,24.5925,72.7083
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Curchorem,15.25,74.1
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kavaratti,10.5626,72.6369
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Panchkula,30.6915,76.8537
,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,Kagaznagar,19.3316,79.4661
